Team,Result,For,Aga,Diff,HTf,HTa,,Opposition,Ground,Match Date
Italy,lost,26,31,-5,0,21,,v Wales,Cardiff,16-Jan-96
Italy,won,64,3,61,36,3,,v Portugal,Lisbon,02-Mar-96
Italy,lost,22,31,-9,9,20,,v Wales,Rome,05-Oct-96
Italy,lost,18,40,-22,8,13,,v Australia,Padova,23-Oct-96
Italy,lost,21,54,-33,0,28,,v England,Twickenham,23-Nov-96
Italy,lost,22,29,-7,12,8,,v Scotland,Murrayfield,14-Dec-96
Italy,won,37,29,8,17,18,,v Ireland,Lansdowne Road,04-Jan-97
Italy,won,40,32,8,20,13,,v France,Grenoble,22-Mar-97
Italy,lost,19,30,-11,9,17,,v France,Auch,18-Oct-97
Italy,draw,18,18,0,6,15,,v Argentina,Lourdes,22-Oct-97
Italy,won,55,32,23,23,18,,v Romania,Tarbes,26-Oct-97
Italy,lost,31,62,-31,20,22,,v South Africa,Bologna,08-Nov-97
Italy,won,37,22,15,9,9,,v Ireland,Bologna,20-Dec-97
Italy,won,25,21,4,9,18,,v Scotland,Treviso,24-Jan-98
Italy,lost,20,23,-3,3,9,,v Wales,Llanelli,07-Feb-98
Italy,won,48,18,30,20,6,,v Russia,Krasnoyarsk,18-Apr-98
Italy,won,23,19,4,17,3,,v Argentina,Piacenza,07-Nov-98
Italy,won,67,7,60,38,0,,v Netherlands,Huddersfield,18-Nov-98
Italy,lost,15,23,-8,6,16,,v England,Huddersfield,22-Nov-98
Italy,lost,24,49,-25,3,36,,v France XV,Genova,30-Jan-99
Italy,lost,12,30,-18,12,20,,v Scotland,Murrayfield,06-Mar-99
Italy,lost,21,60,-39,16,18,,v Wales,Treviso,20-Mar-99
Italy,lost,30,39,-9,23,11,,v Ireland,Lansdowne Road,10-Apr-99
Italy,lost,3,74,-71,3,22,,v South Africa,Port Elizabeth,12-Jun-99
Italy,lost,0,101,-101,0,40,,v South Africa,Durban,19-Jun-99
Italy,won,49,17,32,18,12,,v Uruguay,L'Aquila,22-Aug-99
Italy,won,42,11,31,28,0,,v Spain,L'Aquila,26-Aug-99
Italy,lost,32,50,-18,24,14,,v Fiji,L'Aquila,28-Aug-99
Italy,lost,7,67,-60,7,34,,v England,Twickenham,02-Oct-99
Italy,lost,25,28,-3,12,18,,v Tonga,Leicester,10-Oct-99
Italy,lost,3,101,-98,3,51,,v New Zealand,Huddersfield,14-Oct-99
Italy,won,34,20,14,12,10,,v Scotland,Rome,05-Feb-00
Italy,lost,16,47,-31,9,30,,v Wales,Millennium Stadium,19-Feb-00
Italy,lost,13,60,-47,0,33,,v Ireland,Lansdowne Road,04-Mar-00
Italy,lost,12,59,-47,7,23,,v England,Rome,18-Mar-00
Italy,lost,31,42,-11,17,20,,v France,Stade de France,01-Apr-00
Italy,lost,24,43,-19,7,20,,v Samoa,Apia,08-Jul-00
Italy,lost,9,43,-34,3,27,,v Fiji,Lautoka,15-Jul-00
Italy,lost,17,22,-5,9,12,,v Canada,Rovigo,11-Nov-00
Italy,won,37,17,20,15,3,,v Romania,Benevento,18-Nov-00
Italy,lost,19,56,-37,9,25,,v New Zealand,Genova,25-Nov-00
Italy,lost,22,41,-19,8,16,,v Ireland,Rome,03-Feb-01
Italy,lost,23,80,-57,23,33,,v England,Twickenham,17-Feb-01
Italy,lost,19,30,-11,9,14,,v France,Rome,03-Mar-01
Italy,lost,19,23,-4,10,6,,v Scotland,Murrayfield,17-Mar-01
Italy,lost,23,33,-10,12,20,,v Wales,Rome,08-Apr-01
Italy,won,49,24,25,21,3,,v Namibia,Windhoek,23-Jun-01
Italy,lost,14,60,-46,9,17,,v South Africa,Port Elizabeth,30-Jun-01
Italy,won,14,3,11,3,3,,v Uruguay,Montevideo,07-Jul-01
Italy,lost,17,38,-21,6,13,,v Argentina,Buenos Aires,14-Jul-01
Italy,won,66,10,56,31,10,,v Fiji,Treviso,10-Nov-01
Italy,lost,26,54,-28,12,21,,v South Africa,Genova,17-Nov-01
Italy,lost,9,17,-8,9,11,,v Samoa,L'Aquila,24-Nov-01
Italy,lost,12,33,-21,12,19,,v France,Stade de France,02-Feb-02
Italy,lost,12,29,-17,9,9,,v Scotland,Rome,16-Feb-02
Italy,lost,20,44,-24,13,23,,v Wales,Millennium Stadium,02-Mar-02
Italy,lost,17,32,-15,0,19,,v Ireland,Lansdowne Road,23-Mar-02
Italy,lost,9,45,-36,3,24,,v England,Rome,07-Apr-02
Italy,lost,10,64,-54,3,24,,v New Zealand,Hamilton,08-Jun-02
Italy,won,50,3,47,24,3,,v Spain,Valladolid,22-Sep-02
Italy,won,25,17,8,16,14,,v Romania,Parma,28-Sep-02
Italy,lost,6,36,-30,6,15,,v Argentina,Rome,16-Nov-02
Italy,lost,3,34,-31,3,17,,v Australia,Genova,23-Nov-02
Italy,won,30,22,8,20,17,,v Wales,Rome,15-Feb-03
Italy,lost,13,37,-24,3,18,,v Ireland,Rome,22-Feb-03
Italy,lost,5,40,-35,0,33,,v England,Twickenham,09-Mar-03
Italy,lost,27,53,-26,10,41,,v France,Rome,23-Mar-03
Italy,lost,25,33,-8,15,23,,v Scotland,Murrayfield,29-Mar-03
Italy,lost,15,47,-32,8,28,,v Scotland,Murrayfield,23-Aug-03
Italy,lost,6,61,-55,6,23,,v Ireland,Limerick,30-Aug-03
Italy,won,31,22,9,13,13,,v Georgia,Asti,06-Sep-03
Italy,lost,7,70,-63,0,25,,v New Zealand,Melbourne,11-Oct-03
Italy,won,36,12,24,9,7,,v Tonga,Canberra,15-Oct-03
Italy,won,19,14,5,9,6,,v Canada,Canberra,21-Oct-03
Italy,lost,15,27,-12,9,20,,v Wales,Canberra,25-Oct-03
Italy,lost,9,50,-41,9,26,,v England,Rome,15-Feb-04
Italy,lost,0,25,-25,0,10,,v France,Stade de France,21-Feb-04
Italy,won,20,14,6,9,9,,v Scotland,Rome,06-Mar-04
Italy,lost,3,19,-16,0,12,,v Ireland,Lansdowne Road,20-Mar-04
Italy,lost,10,44,-34,0,16,,v Wales,Millennium Stadium,27-Mar-04
Italy,lost,24,25,-1,5,22,,v Romania,Bucharest,26-Jun-04
Italy,won,32,19,13,15,6,,v Japan,Tokyo,04-Jul-04
Italy,won,51,6,45,13,3,,v Canada,L'Aquila,06-Nov-04
Italy,lost,10,59,-49,3,35,,v New Zealand,Rome,13-Nov-04
Italy,won,43,25,18,30,3,,v USA,Biella-in-Piedmont,27-Nov-04
Italy,lost,17,28,-11,6,8,,v Ireland,Rome,06-Feb-05
Italy,lost,8,38,-30,5,19,,v Wales,Rome,12-Feb-05
Italy,lost,10,18,-8,3,6,,v Scotland,Murrayfield,26-Feb-05
Italy,lost,7,39,-32,0,22,,v England,Twickenham,12-Mar-05
Italy,lost,13,56,-43,10,24,,v France,Rome,19-Mar-05
Italy,lost,21,35,-14,15,17,,v Argentina,Salta,11-Jun-05
Italy,won,30,29,1,27,13,,v Argentina,Cordoba,17-Jun-05
Italy,lost,21,69,-48,7,43,,v Australia,Melbourne,25-Jun-05
Italy,won,48,0,48,21,0,,v Tonga,Prato,12-Nov-05
Italy,lost,22,39,-17,16,19,,v Argentina,Genova,19-Nov-05
Italy,won,23,8,15,3,3,,v Fiji,Monza,26-Nov-05
Italy,lost,16,26,-10,10,10,,v Ireland,Lansdowne Road,04-Feb-06
Italy,lost,16,31,-15,6,7,,v England,Rome,11-Feb-06
Italy,lost,12,37,-25,12,8,,v France,Stade de France,25-Feb-06
Italy,draw,18,18,0,15,15,,v Wales,Millennium Stadium,11-Mar-06
Italy,lost,10,13,-3,7,10,,v Scotland,Rome,18-Mar-06
Italy,won,52,6,46,24,3,,v Japan,Tokyo,11-Jun-06
Italy,lost,18,29,-11,8,29,,v Fiji,Lautoka,17-Jun-06
Italy,won,83,0,83,40,0,,v Portugal,L'Aquila,07-Oct-06
Italy,won,67,7,60,39,0,,v Russia,Moscow,14-Oct-06
Italy,lost,18,25,-7,15,13,,v Australia,Rome,11-Nov-06
Italy,lost,16,23,-7,9,3,,v Argentina,Rome,18-Nov-06
Italy,won,41,6,35,13,6,,v Canada,Fontanafredda,25-Nov-06
Italy,lost,3,39,-36,3,22,,v France,Rome,03-Feb-07
Italy,lost,7,20,-13,0,14,,v England,Twickenham,10-Feb-07
Italy,won,37,17,20,24,10,,v Scotland,Murrayfield,24-Feb-07
Italy,won,23,20,3,13,7,,v Wales,Rome,10-Mar-07
Italy,lost,24,51,-27,12,20,,v Ireland,Rome,17-Mar-07
Italy,won,29,5,24,8,0,,v Uruguay,Montevideo,02-Jun-07
Italy,lost,6,24,-18,3,18,,v Argentina,Mendoza,09-Jun-07
Italy,won,36,12,24,22,7,,v Japan,Saint Vincent Aosta,18-Aug-07
Italy,lost,20,23,-3,13,10,,v Ireland,Belfast,24-Aug-07
Italy,lost,14,76,-62,7,43,,v New Zealand,Marseille,08-Sep-07
Italy,won,24,18,6,8,0,,v Romania,Marseille,12-Sep-07
Italy,won,31,5,26,16,5,,v Portugal,Parc des Princes,19-Sep-07
Italy,lost,16,18,-2,10,12,,v Scotland,Saint-Etienne,29-Sep-07
Italy,lost,11,16,-5,3,10,,v Ireland,Croke Park,02-Feb-08
Italy,lost,19,23,-4,6,20,,v England,Rome,10-Feb-08
Italy,lost,8,47,-39,8,13,,v Wales,Millennium Stadium,23-Feb-08
Italy,lost,13,25,-12,6,13,,v France,Stade de France,09-Mar-08
